#logback.classic pattern: %date{ISO8601} | %-5level | %msg [%logger{40}<%thread>] %n%xEx
2023-08-24 11:48:17,055 | INFO  | Command line argument: -Djava.protocol.handler.pkgs=org.apache.catalina.webresources [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,056 | INFO  | Command line argument: -Dorg.apache.catalina.security.SecurityListener.UMASK=0027 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,058 | INFO  | Command line argument: -Dexo.cluster.node.name= [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,059 | INFO  | Command line argument: -Dexo.jcr.session.tracking.active=false [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,060 | INFO  | Command line argument: -Xms512m [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,062 | INFO  | Command line argument: -Xmx3g [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,063 | INFO  | Command line argument: -XX:MaxMetaspaceSize=512m [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,065 | INFO  | Command line argument: -Dsun.rmi.dgc.client.gcInterval=3600000 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,066 | INFO  | Command line argument: -Dsun.rmi.dgc.server.gcInterval=3600000 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,071 | INFO  | Command line argument: -Duser.language=en [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,072 | INFO  | Command line argument: -Duser.region=US [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,079 | INFO  | Command line argument: -Djava.net.preferIPv4Stack=true [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,080 | INFO  | Command line argument: -Djava.awt.headless=true [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,082 | INFO  | Command line argument: -Dexo.profiles=all [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,083 | INFO  | Command line argument: -Dexo.conf.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/conf [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,085 | INFO  | Command line argument: -Dgatein.conf.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/conf [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,086 | INFO  | Command line argument: -Djava.security.auth.login.config=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/conf/jaas.conf [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,087 | INFO  | Command line argument: -Dexo.data.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/data [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,088 | INFO  | Command line argument: -Dexo.jcr.data.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/data/jcr [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,088 | INFO  | Command line argument: -Dexo.jcr.storage.data.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/data/jcr/values [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,089 | INFO  | Command line argument: -Dexo.jcr.index.data.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/data/jcr/index [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,090 | INFO  | Command line argument: -Dexo.files.storage.dir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/data/files [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,090 | INFO  | Command line argument: -Dlogback.configurationFile=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/conf/logback.xml [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,091 | INFO  | Command line argument: -Djavax.xml.stream.XMLOutputFactory=com.sun.xml.internal.stream.XMLOutputFactoryImpl [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,093 | INFO  | Command line argument: -Djavax.xml.stream.XMLInputFactory=com.sun.xml.internal.stream.XMLInputFactoryImpl [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,095 | INFO  | Command line argument: -Djavax.xml.stream.XMLEventFactory=com.sun.xml.internal.stream.events.XMLEventFactoryImpl [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,096 | INFO  | Command line argument: -Djavax.xml.parsers.SAXParserFactory=com.sun.org.apache.xerces.internal.jaxp.SAXParserFactoryImpl [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,098 | INFO  | Command line argument: -Djava.util.Arrays.useLegacyMergeSort=true [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,098 | INFO  | Command line argument: -Djava.security.egd=file:/dev/./urandom [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,099 | INFO  | Command line argument: -Dfile.encoding=UTF-8 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,099 | INFO  | Command line argument: -Dexo.cookie.samesite=Lax [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,099 | INFO  | Command line argument: -Dignore.endorsed.dirs= [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,100 | INFO  | Command line argument: -Dcatalina.base=/home/dev-josh/Desktop/invictus/platform-community-6.4.1 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,100 | INFO  | Command line argument: -Dcatalina.home=/home/dev-josh/Desktop/invictus/platform-community-6.4.1 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,101 | INFO  | Command line argument: -Djava.io.tmpdir=/home/dev-josh/Desktop/invictus/platform-community-6.4.1/temp [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,105 | INFO  | The Apache Tomcat Native library which allows using OpenSSL was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib] [o.a.catalina.core.AprLifecycleListener<main>] 
2023-08-24 11:48:18,038 | INFO  | The ["http-nio-0.0.0.0-8080"] connector has been configured to support HTTP upgrade to [h2c] [o.apache.coyote.http11.Http11NioProtocol<main>] 
2023-08-24 11:48:18,039 | INFO  | Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"] [o.apache.coyote.http11.Http11NioProtocol<main>] 
2023-08-24 11:48:18,152 | INFO  | Server initialization in [2892] milliseconds [org.apache.catalina.startup.Catalina<main>] 
2023-08-24 11:48:19,314 | INFO  | Starting service [Catalina] [org.apache.catalina.core.StandardService<main>] 
2023-08-24 11:48:19,315 | INFO  | Starting Servlet engine: [Apache Tomcat/9.0.60] [org.apache.catalina.core.StandardEngine<main>] 
2023-08-24 11:48:19,363 | INFO  | Deploying web application archive [/home/dev-josh/Desktop/invictus/platform-community-6.4.1/webapps/plf-community.war] [org.apache.catalina.startup.HostConfig<Catalina-utility-1>] 
2023-08-24 11:48:19,369 | INFO  | Deploying web application archive [/home/dev-josh/Desktop/invictus/platform-community-6.4.1/webapps/jitsi.war] [org.apache.catalina.startup.HostConfig<Catalina-utility-2>] 
2023-08-24 11:48:19,375 | INFO  | Deploying web application archive [/home/dev-josh/Desktop/invictus/platform-community-6.4.1/webapps/ecmexplorer.war] [org.apache.catalina.startup.HostConfig<Catalina-utility-3>] 
2023-08-24 11:48:20,285 | INFO  | Cache eXo Resource at client: true [o.e.p.application.ResourceRequestFilter<Catalina-utility-3>] 
2023-08-24 11:48:20,302 | INFO  | Building root container [exo.kernel.container.RootContainer<Catalina-utility-1>] 
2023-08-24 11:48:20,437 | INFO  | Deployment of web application archive [/home/dev-josh/Desktop/invictus/platform-community-6.4.1/webapps/ecmexplorer.war] has finished in [1,070] ms [org.apache.catalina.startup.HostConfig<Catalina-utility-3>] 
2023-08-24 11:48:20,440 | INFO  | Deploying web application archive [/home/dev-josh/Desktop/invictus/platform-community-6.4.1/webapps/exoadmin.war] [org.apache.catalina.startup.HostConfig<Catalina-utility-3>] 
2023-08-24 11:48:20,579 | INFO  | Override exo-conf directory '/home/dev-josh/Desktop/invictus/platform-community-6.4.1/exo-conf' with location '/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/conf' [exo.kernel.container.J2EEServerInfo<Catalina-utility-1>] 
2023-08-24 11:48:20,598 | INFO  | Active profiles for Root container: [exo_community, all, tomcat] [exo.kernel.container.RootContainer<Catalina-utility-1>] 
2023-08-24 11:48:22,028 | INFO  | Skipping configuration file file:/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/conf/docker.properties. File doesn't exist. [o.e.c.ExtendedPropertyConfigurator<Catalina-utility-1>] 
